"identificationKeyType","identificationKey","itemDescription","qualifierPath","linkType","ianaLanguage","context","mimeType","linkTitle","targetUrl","defaultLinktype","defaultIanaLanguage","defaultContext","defaultMimeType","fwqs","active","dateInserted","dateLastUpdated"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:productSustainabilityInfo","en","xx","text/html","About Dal Giardino","https://dalgiardino.com/about/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:productSustainabilityInfo","es","xx","text/html","Sobre Dal Giardino","https://dalgiardino.com/about/index.html.es","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:productSustainabilityInfo","vi","xx","text/html","Phát triển bền vững và t","https://dalgiardino.com/about/index.html.vi","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:recipeInfo","en","xx","text/html","Wild Mushroom And Butternut Squa","https://dalgiardino.com/mushroom-squash-risotto/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:recipeInfo","es","xx","text/html","Recetas","https://dalgiardino.com/mushroom-squash-risotto/index.html.es","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:recipeInfo","ja","xx","text/html","キノコと砕いたバター�","https://dalgiardino.com/mushroom-squash-risotto/index.html.ja","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:traceability","en","xx","text/html","Traceability (item level)","https://dalgiardino.com/risotto-rice-with-mushrooms/lot/ABC/ser/123","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134369","Dal Giardino Extra Virgin Olive Oil Exclusive Selection 1L","/","gs1:hasRetailers","en","xx","text/html","Where to buy","https://dalgiardino.com/where-to-buy/","Y","Y","Y","Y","Y","Y","2020-06-29T15:36:09.863Z","2020-08-27T14:22:24.313Z"
"gtin","09506000134369","Dal Giardino Extra Virgin Olive Oil Exclusive Selection 1L","/","gs1:pip","en","xx","text/html","Product information","https://dalgiardino.com/extra-virgin-olive-oil/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.863Z","2020-08-27T14:22:24.313Z"
"gtin","09506000134369","Dal Giardino Extra Virgin Olive Oil Exclusive Selection 1L","/","gs1:pip","ja","xx","text/html","Product information","https://dalgiardino.com/extra-virgin-olive-oil/index.html.ja","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.863Z","2020-08-27T14:22:24.313Z"
"gtin","09506000134376","Dal Giardino Medicinal Compound 50 x 200mg","/","gs1:epil","en","xx","text/html","Information for patients","https://dalgiardino.com/medicinal-compound/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.897Z","2020-08-27T14:22:24.330Z"
"gtin","09506000134376","Dal Giardino Medicinal Compound 50 x 200mg","/","gs1:pip","en","xx","text/html","Product information","https://dalgiardino.com/medicinal-compound/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.897Z","2020-08-27T14:22:24.330Z"
"gtin","09506000134376","Dal Giardino Medicinal Compound 50 x 200mg","/","gs1:pip","ja","xx","text/html","Product information","https://dalgiardino.com/medicinal-compound/index.html.ja","Y","Y","Y","Y","Y","Y","2020-06-29T15:36:09.897Z","2020-08-27T14:22:24.330Z"
